Flirt Module,Flört Modul,
Enable Coupons,Kuponok engedélyezése,
Enable Essay,Esszé engedélyezése,
Select ON to activate Skype in the Profiles.,Válassza a BE-t a Skype aktiválásáért profiljaiban.,
Select ON to activate the site in Free Mode.,"Válassza a BE-t, hogy aktiválja az oldalt Szabad módban.",
Select ON to activate My Articles.,"Válassza a BE-t, hogy aktiválja az Oldalaim-at.",
Select ON to activate My Friends Modules.,A Barátaim modulok aktiválásához válassza ki a BE-t.,
Select ON to activate Skype.,A Skype aktiválásához válassza ki a BE-t.,
Select ON to activate avatars Blog,Az Avatárok Blogja aktiválásához válassza ki a BE-t.,
Select ON to activate the Flirt Module.,A flört modul aktiválásához válassza ki a BE-t.,
Select ON to activate the Coupons.,A kuponok aktiválásához válassza ki a BE-t.,
Select ON to activate Essays.,Esszék aktiválásához válassza ki a BE-t.,
Approval,Jóváhagyás,
Authorize Profiles,Profilok engedélyezése,
Authorize Youtube,Youtube engedélyezése,
Authorize Videos,Videók engedélyezése,
Authorize Audios,Audió felvételek engedélyezése,
Authorize Articles,Cikkek engedélyezése,
Authorize Blogs,Blogok engedélyezése,
Authorize Photos,Fotók engedélyezése,
Authorize Comments,Kommentek engedélyezése,
Authorize Galleries,Galériák engedélyezése,
Authorize Essays,Esszék engedélyezése,
Select ON to automatically approve the members profiles.,A tagok profiljainak automatikus jóváhagyásához válassza ki a BE-t.,
Select ON to automatically approve youtube.,A Youtube automatikus jóváhagyásához válassza ki a BE-t.,
Select ON to automatically approve Videos uploaded by members.,Tagok által feltöltött videók automatikus jóváhagyásához válassza ki a BE-t.,
Select ON to automatically approve the Audios uploaded by your members.,Tagok által feltöltött audió felvételek automatikus jóváhagyásához válassza ki a BE-t.,
Select ON to automatically approve articles.,Cikkek automatikus jóváhagyásához válassza ki a BE-t.,
Select ON to automatically approve blogs post.,Blogok posztolásának automatikus jóváhagyásához válassza ki a BE-t.,
Select ON to automatically approve photos uploaded by your members,Tagok által feltöltött fotók automatikus jóváhagyásához válassza ki a BE-t.,
Select ON to automatically approve comments,Kommentek automatikus jóváhagyásához válassza ki a BE-t.,
Select ON to automatically approve your members galleries.,Tagjaid galériáinak automatikus jóváhagyásához válassza ki a BE-t.,
Select ON to automatically approve essays.,Esszék automatikus jóváhagyásához válassza ki a BE-t.,
Settings,Beállítások,
Audio count,Audió fájlok száma,
Video count,Videók száma,
Image count,Képek száma,
Currency Sign,Pénznem jele,
Currency,Pénznem,
Trial Premium,Próbaprémium,
Free Trial Gender,"""Nem"" ingyenes próbaidő",
Number of Audio files allowed to upload in your members Profiles,Tagok profiljaiban feltölthető audió fájlok száma,
Number of Videos allowed to upload in your member's Profiles,Tagok profiljaiban feltölthető videók száma,
Number of Images allowed to upload in your members Profiles,Tagok profiljaiban feltölthető képek száma,
Select your Currency Symbol,Válassza ki pénznemének szimbólumát,
Select your Currency,Válassza ki pénznemét,
Number of days for Premium Membership - Enter -1 for no,"Prémium tagság napjainak száma - Írjon be -1-et, ha nem",
Who gets free trial of Premium Membership?,Ki kaphat ingyenes próbaidőt prémium tagságra?,
Free Trial,Ingyenes próbaidő,
Select ON to activate Free Trial,Az ingyenes próbaidő aktiválásához válassza ki a BE-t.,
Gender,Nem,
"Set gender for Free Trial, Male or Female or Both","Állítsa be nemét ingyenes próbaidőre, férfi vagy nő vagy mindkettő",
Days,Napok,
Male,Férfi,
Female,Nő,
Both,Mindkettő,
Enable Email,E-mail aktiválása,
Select ON to enable free email access. Choose gender below.,Szabad email hozzáférés aktiválásához válassza ki a BE-t. Alul válassza ki nemét.,
Set Male or Female to allow email access to specific gender,"Állítson be férfit vagy nőt, hogy specifikus nemeknek engedélyezze az email hozzáférést.",
Member List,Taglista,
All,Minden,
Select which member list will be shown on the front page.,"Válassza ki, hogy melyik taglista legyen a címoldalon.",
Force Profile,Force Profile,
Select ON to force members to create a profile before searching.,Select ON to force members to create a profile before searching.,
Rate Profile,Profil értékelése,
Custom Memberships,Személyre szabott tagságok,
Name,Név,
Price,Ár,
Number of Days,Napok száma,
Paypal Address,Paypal cím,
Spam Filter,Spam szűrő,
Spam Tolerange,Spam tolerancia,
Spam Limit,Spam korlát,
Spam Words,Spam szavak,
Spamword,Spamszó,
Select ON to activate the Spam Filter,A Spam szűrő aktiválásához válassza ki a BE-t.,
count of identical emails,Azonos emailek száma,
count of badwords in email,Csúnya szavak száma az emailekben,
Profile Setup,Profil felállítása,
Existing Profile Questions:,Létező profilkérdések:,
Name:,Név:,
Type:,Típus:,
Order:,Order:,
Add New Profile Question:,Új profil kérdés hozzáadása:,
Question,Kérdés,
Max Char:,Maximum karakter:,
Required:,Kötelező:,
Add Profile Question:,Profil kérdés hozzáadása:,
Add New Option:,Új opció hozzáadása:,
Add,Hozzáad,
Option value,Opció értéke,
Flirt Message,Flört üzenet,
Flirt Text:,Flört szöveg:,
Home,Kezdőoldal,
Email,Email,
Edit Profile,Profil szerkesztése,
Add Photos,Fotók hozzáadása,
Media,Média,
Add Videos,Videók hozzáadása,
Add Music,Zene hozzáadása,
Extras,Extrák,
No record found.,Nem talált feljegyzést.,
Messages,Üzenetek,
Compose,Összeállít,
Sent,Küldött,
Winks,Rákacsintások,
Friends,Barátok,
Favorites,Kedvencek,
Alerts,Értesítések,
Blocked,Blokkolt,
2,2,
My Messages,Üzeneteim,
Gender:,Nem:,
Man,Férfi,
Woman,Nő,
I am:,Én vagyok:,
Seeking a:,Keresek egy:,
Seeking:,Keresek:,
Age:,Kor:,
Country:,Ország:,
Select Country,Válassz országot,
City:,Város:,
Select City,Válassz várost,
Zip:,Irányítószám:,
Profile Questions,Profil kérdések,
Verification Number,Azonosító szám,
I have read and accept Terms of Service,Elolvastam és elfogadom a szolgáltatási feltételeket,
Location:,Elhelyezkedés:,
Score:,Pontszám:,
Quick Stats:,Gyors statisztika:,
New Messages:,Új üzenetek:,
New Friends:,Új barátok:,
New Gifts:,Új ajándékok:,
Credits:,Kreditek:,
Membership:,Tagság:,
Status Update,Állapotfrissítés,
About Me,Rólam,
New Message,Új üzenet,
Trash,Szemét,
My Favorites,Kedvenceim,
Subject,Tárgy,
Sender,Feladó,
Delete Selected,Kiválasztottak törlése,
New Members,Új tagok,
Popular Members,Népszerű tagok,
Update,Frissítés,
Profile Trending,Profil trend,
Who Viewed Me,Ki nézett meg,
Who I Viewed,Akiket megnéztem,
Who's Online,Ki van online,
Back to Inbox,Vissza a postafiókba,
Please enter,Kérjük írja,
Please Select,Kérjük válassza ki,
values,értékek,
Reply,Válasz,
Message,Üzenet,
Send,Küld,
Message Sent Sucessfully.,Üzenet sikeresen elküldve.,
Could not continue as text entered contains words included in our spam filter.,"Sajnos nem tudtuk tovább folytatni, mivel a szöveg olyan szavakat tartalmaz, amelyek a spam szűrőnkben vannak.",
You forgot to enter Subject.,Elfelejtetted a tárgyat.,
You forgot to select your Friend.,Elfelejtettél barátot választani.,
You forgot to enter Message.,Elfelejtettél üzenetet írni.,
You forgot to enter About Me.,Elfelejtettél írni magadról (Rólam).,
Alert Member Notifications-> You can&rsquo;t send a Message to this Member.,Alert Member Notifications-> You can&rsquo;t send a Message to this Member.,
To,Címzett,
Send Message,Üzenet küldése,
No Winks!,Nincsenek rákacsintások!,
No Friends!,Nincsenek barátaid!,
"Currently,you have no Favorites!",Jelenleg nincsenek kedvenceid!,
My Matches,Egybeeséseim,
No matches found!,Nem talált egybeeséseket!,
Pending Friend Requests.,Függőben lévő baráti meghívások.,
Currently you donot have friend request.,Jelenleg nincsenek baráti meghívásaid.,
Blocked Members,Blokkolt tagok,
Unblock,Blokk visszavétele,
No Blocked Members!,Nincsenek blokkolt tagjaid!,
Your profile will be updated within 24 hours.,A profilod 24 óra múlva frissül,
Pictures you uploaded will be approved within 24 hours.,Feltöltött képeidet 24 óra múlva jóváhagyjuk.,
Your audio files will be approved within 24 hours.,Audió fáljait 24 óra múlva jóváhagyjuk.,
Videos you uploaded will be approved within 24 hours.,Feltöltött videóit 24 óra múlva jóváhagyjuk.,
Please update Profile Before Add to friend.,"Kérjük, frissítse profilját, mielőtt hozzáadná barátaihoz.",
You can Upload only <#COUNT#> photos.,Ön csak <#COUNT#> fotót tud feltölteni.,
You can only upload <#COUNT#> Audios,Ön csak <#COUNT#> audió fájlt tud feltölteni.,
You can only upload <#COUNT#> videos,Ön csak <#COUNT#> videót tud feltölteni.,
Error uploading <#FILE_NAME#> Please try again.,"Hiba történt <#FILE_NAME#> felöltése során. Kérjük, próbálja meg újra.",
System error encountered while uploading <#FILE_NAME#>,Rendszerhiba észlelve <#FILE_NAME#> feltöltése során.,
<#FILE_NAME#> cannot be uploaded.,<#FILE_NAME#> -t nem tudjuk feltölteni.,
No file selected.,Nem választott ki fájlt.,
Uploaded successfully.,Sikeresen feltöltve.,
Add Audio:,Audió fájl hozzáadása:,
Add Audio,Audió fájl hozzáadása,
Your profile has been updated!,A profilod frissítve lett!,
"Sorry, you have provided an invalid security code","Sajnáljuk, érvénytelen biztonsági kódot adott meg",
"Sorry,You are blocked by this user. You can not send a message.","Sajnáljuk, a felhasználó blokkolta Önt. Mem küldhet üzenetet neki.",
Yes,Igen,
No Preference,Nincs preferencia,
No,Nem,
Select,Válassza ki,
Pictures,Képek,
Guestbook,Vendégkönyv,
Add to Friends,Hozzáadás barátokhoz,
Add to Favorites,Hozzáadás kedvencekhez,
Send a Gift,Ajándék küldése,
Send Wink,Wink küldése,
Skype Me,Skype-olj velem,
Chat Now!,Chattelj most!,
More photos,Több fotó,
Votes:,Szavazatok:,
Views:,Megtekintések:,
Block member,Tag blokkolása,
Report,Report,
Comments,Kommentek,
Add comment,Komment hozzáadása,
Member Blocked.,A tag blokkolt.,
Already Exists in your blocked list.,Már a blokkoltak listáján szerepel.,
You are not a friend of this member so you can&rsquo;t view this members pictures.,You are not a friend of this member so you can&rsquo;t view this members pictures.,
Your profile has not been approved yet. Please wait for 24 hours or write to the admin.,"A profilod még nem lett jóváhagyva. Kérjük, várjon egy 24 órát vagy írjon az adminnak.",
No Profile Exists.,Nem létezik profil.,
You forgot to select Wink text.,Elfelejtett kiválasztani a kacsintás szöveget.,
You can&rsquo;t view member Friends.,You can&rsquo;t view member Friends.,
You can&rsquo;t view member Videos.,You can&rsquo;t view member Videos.,
You can&rsquo;t view member Audios.,You can&rsquo;t view member Audios.,
"Your Friend Request was sent successfully. After your request is accepted, you can view your added friends in your Friends list.","A baráti kérésed sikeresen el lett küldve. Miután a kérés el lett fogadva, megtekintheti hozzáadott barátait a Barátok listáján.",
Alert Member Notifications-> You can&rsquo;t send Friend Request to this Member.,Alert Member Notifications-> You can&rsquo;t send Friend Request to this Member.,
You have Already sent a request to this Member!,Már küldtél baráti kérést ennek a tagnak!,
Already your Friend!,Ő már a batátod!,
You can&rsquo;t add yourself!,You can&rsquo;t add yourself!,
Back to Profile,Vissza a profilhoz,
Profile added as Favorites!,Profil hozzáadva a kedvencekhez!,
Already added in your favorites list!,Már hozzá lett adva a kedvencek listájához!,
You can&rsquo;t send a message to yourself!,You can&rsquo;t send a message to yourself!,
"You can&rsquo;t send message, Member not added in your friend list!","You can&rsquo;t send message, Member not added in your friend list!",
Create Album,Album létrehozása,
Upload Photos,Fotók feltöltése,
Manage Photos/Album,Fotók/Albumok kezelése,
Add Video,Videó hozzáadása,
Add Album:,Album hozzáadása:,
Add Video:,Videó hozzáadása:,
Upload,Feltölt,
Add Album,Album hozzáadása,
Album,Album,
Edit,Szerkeszt,
Select Album,Album kiválasztása,
Upload Photo:,Fotó feltöltése:,
Add Photo,Fotó hozzáadása,
Back to Albums,Vissza az albumokhoz,
Album has been deleted.,Az album törölve lett.,
"Album could not be deleted, Please Delete Photos of this Album before Deleting this Album","Az albumot nem lehetett törölni. Kérjük, először törölje az album fotóit mielőtt az albumot törölné",
Advanced,Haladó,
Save Searches,Keresések mentése,
Search Result,Eredmények mentése,
Years,Évek,
Additional Options,További opciók,
Online Only,Csak online,
With Pictures Only,Csak képekkel,
Save this search,Mentsd le ezt a keresést,
Save this Search as:,Mentsd le ezt a keresést mint:,
Display type,Display type,
Search Name,Név keresése,
Search Type,Típus keresése,
Account,Felhasználó fiók,
Notification,Értesítés,
Privacy,Adatvédelem,
Skype,Skype,
Upgrade Account,Fiók bővítése,
You forgot to enter your email address.,Elfelejtett email címet írni.,
You entered an invalid email address.,Érvénytelen email címet írt be.,
Please enter Pasword,"Kérjük, írja be jelszavát",
Please enter the same password in the two password fields.,"Kérjük, írja be ugyan azt a jelszót mind a két helyre.",
You Account Settings has been updated.,Fiók beállításaid frissültek.,
Username,Felhasználónév,
Can&rsquo;t Change,Can&rsquo;t Change,
Password:,Jelszó:,
Confirm Password,Jelszó megerősítése,
Settings Updated.,Beállítások frissítve.,
Private messages,Privát üzenetek,
Friend requests,Baráti kérések,
Who can view my pictures,Ki tekintheti meg a képeimet,
Who can view my friends,Ki tekintheti meg a barátaimat,
Who can view my Profile,Ki tekintheti meg a profilomat,
Who can view my Video,Ki tekintheti meg a videóimat,
Who can view my Audio,Ki tekintheti meg az audió fájljaimat,
Everyone,Mindenki,
Upgrade now and enjoy double limits of regular members for the whole,Bővítse fiókját most és élvezzen dupla korlátot az állandó tagjainak számára,
You forgot to select your country.,Elfelejtett országot választani.,
You forgot to enter your Zipcode.,Elfelejtett beírni a zip kódját.,
You forgot to Select your City.,Elfelejtett kiválasztani városát.,
You forgot to select your State.,Elfelejtett kiválasztani államot.,
please select Yes if you read and accept Terms of Service.,"Kérjük, válassza az Igen-t, ha elolvasta és elfogadja a szolgáltatási feltételeket.",
Skype Name:,Skype név:,
Skype Setting:,Skype beállítások:,
Show to Everyone,Mutassa mindenkinek,
Show to Favorites,Mutassa kedvenceknek,
Add Blogs,Blogok hozzáadása,
Title,Cím,
Blog,Blog,
Tags,Tag-ek,
Date,Dátum,
Blog Title,Blog címe,
Blog Date/Time,Blog dátuma/ideje,
Viewed Me,Megnézett engem,
I Viewed,Megnéztem,
Trending,Trendben,
Trending Profiles,Trendben lévő profilok,
Interest Cloud,Érdeklődési felhő,
My Interests,Érdeklődéseim,
Accounting,Accounting,
Total Amount,Teljes összeg,
During Last:,Utolsó alkalomkor:,
On the Date:,A randinál:,
Between Dates:,Randik közt:,
Totals,Összegek,
Please enter days!,"Kérjük, írja be a napok számát!",
Please enter the date!,"Kérjük, írja be a dátumot!",
please enter date range!,"kérjük, írja be az időtartamot!",
Please enter date range!,"Kérjük, írja be az időtartamot!",
Please enter a number!,"Kérjük, írja be egy számot!",
$,$,
Days (Type 0 for today's transactions),Napok (Írjon 0-t a mai tranzakciókra),
Search Premium Members,Pérmium tagok keresése,
Grant Premium Membership,Prémium tagságot adni,
Search Users,Felhasználók keresése,
Add IP to blacklist,IP-cím hozzáadása a feketelistához,
Blacklisted IP's,IP-címek a feketelistában,
Username/IP,Felhasználónév/IP-cím,
Users,Felhasználók,
IP Address,IP-címek,
Blacklisted,Feketelistázott,
Language Admin,Nyelvi admin,
Code Name,Kódnév,
Text Name,Szöveg neve,
Audio,Audió fájl,
Video,Videó,
Currency Symbol,Pénznem szimbóluma,
Thumbnails,Thumbnail-ek,
Demographics,Demográfiai adatok,
Add Language Text,Szöveg nyelvének megadása,
Instant Messenger,Instant üzenetküldő,
Site ID,Oldal azonosítója,
API Key,API Kulcs,
Profile Generator,Profil Generátor,
Age Range,Korbeli intervallum,
Add About Me,Rólam hozzáadása,
Add My Match,Találatom hozzáadása,
Images,Képek,
Number of Interests,Érdeklődések száma,
Random,Véletlenszerű,
Generate,Generálni,
Select ON to allow members to Rate Profiles.,"Válassza ki a BE-t, hogy engedélyezze a tagoknak a profilok értékelését.",
Couples,Párok,
My Profile,Profilom,
Partner Profile,Társprofil,
Username Search,Felhasználónév keresése,
DS News,DS Hírek,
DatingSolutions.biz News,DatingSolutions.biz Hírek,
Date Tracker,Randi számláló,
Select ON to activate the Date Tracker mode.,Válassza ki a BE-t a Randi számláló aktiválásához.,
Select ON to activate instant Messenger,Válassza ki a BE-t az instant üzenetküldő aktiválásához.,
IM Recipient,IM Címzett,
Select ON to activate IM. Recipient must be premium member,Válassza ki a BE-t az IM aktiválásához. A kedvezményezettnek prémium tagnak kell lennie,
Select ON to activate the Blog.,Válassza a BE lehetőséget a blog aktiválásához.,
Picture Gallery,Képgaléria,
Select ON to activate the Picture Gallery.,Válassza a BE lehetőséget a Képgaléria aktiválásához.,
Select ON to activate the Video.,Válassza a BE lehetőséget a Videó aktiválásához.,
Select ON to activate the Audio.,Válassza a BE lehetőséget az Audió fájl aktiválásához.,
Match Alert,Találat értesítő,
Select ON to activate the Match Alert.,Válassza a BE-t az egybeesési értesítő aktiválásához.,
Select ON to activate the Couples Mode.,Válassza az BE lehetőséget a Pár mód aktiválásához.,
Report User,Felhasználó bejelentése,
Block User,Felhasználó blokkolása,
You must be logged in to use this feature.,Ennek a funkciónak a használatához be kell jelentkeznie.,
"Only premium member can access this feature, Please upgrade your account","Csak a prémium tag férhet hozzá ehhez a szolgáltatáshoz, kérjük, bővítse a fiókját",
"Your Premimum Account has been expired, Please upgrade your account",A prémium fiókja lejárt. Kérjük frissítse fiókját,
Recipient member is not a premium member.,Regisztrált tag még nem prémium tag.,
Recipients Premimum Account has been expired.,A prémium fiók lejárt,
Have you gone on a date with this person?,Randiztál ezzel a személlyel?,
Are you sure you want to report this profile?,"Biztos, hogy jelenteni akarod ezt a profilt?",
Are you sure you want to delete?,"Biztos, hogy törölni akarod?",
Are you sure you want to delete this Album?,"Biztos, hogy törölni akarod ezt az albumot?",
Are you sure you want to update this Album?,"Biztos, hogy frissíteni akarod ezt az albumot?",
Are you sure you want to delete this Picture?,"Biztos, hogy törölni akarod ezt az képet?",
Are you sure you want to Approve the selected friend request?,"Biztos, hogy jóváhagyod ezt a barátnak jelölést?",
Are you sure you want to Reject the selected friend request?,"Biztos, hogy elutasítod ezt a barátnak jelölést?",
Are you sure you want to Delete the selected Member?,"Biztos, hogy törölni akarod a megjelölt személyt?",
Are you sure you want to Delete this email?,"Biztos, hogy törölni akarod ezt az emailt?",
Are you sure you want to Delete this wink?,"Biztos, hogy törölni akarod ezt a kacsintást?",
Are you sure you want to delete this Audio file?,"Biztos, hogy törölni akarod ezt a hangfájlt?",
Are you sure you want to delete this Video?,"Biztos, hogy törölni akarod ezt a videót?",
Are you sure you want to delete this Blog?,"Biztos, hogy törölni akarod ezt a blogot?",
Are you sure you want to update this Blog?,"Biztos, hogy frissíteni akarod ezt a blogot?",
Description,Leírás,
Limit Profile View,Profil nézet limitálása,
Select ON to activate the Limit Profile View mode.,"Válaszd az ON-t, hogy aktiváld a Limitált Profil Nézet módot",
Number of profiles,Profilok száma,
Your membership plan is being processed and you will now be redirected to PayPal.,"A tagságod csomagod elöállítása folyamatban van, most átirányítunk a PayPal oldalára.",
Register Redirect,Regisztrálás átirányítása,
Select ON to activate the Register Redirect mode.,"Válaszd az ON-t, hogy aktiváld a Regisztrálás Átirányítása módot",
URL,URL,
SEO,SEO,
eDatingMoz,eDatingMoz,
Mobile,Mobil,
Select ON to activate the Mobile Mode. Depreciated Soon.,"Válaszd az ON-t, hogy aktiváld a Mobil Módot. Leértékelés hamarosan",
Guest Limit Profile,Limitált vendég profil,
Select ON to activate the Guest Limit Profile View mode.,"Válaszd az ON-t, hogy aktiváld a Limitált Vendég Profil módot",
Add New Language,Új nyelv hozzáadása,
Language Name,Nyelv neve,
Charset,Karakterkódolás,
Import Language File,Nyelv fájl importálása,
Flag Image,Zászló kép,
Download Flag First,Zászló letöltése elöször,
Please enter language name!,"Kérjük, válassz nyelvet",
Please select image!,"Kérjük, válassz képet",
Please select language file!,Kérjük válassz egy nyelv fájlt,
Unknown extension for image!,Ismeretlen kép kiterjesztést,
Image is too large please reduce flag image below,"A kép mérete túl nagy, kérjük csökkents a méretét.",
Minimum,Minimum,
Maximum,Maximum,
Dimension is required for image.,A kép dimenziója is szükséges,
KB,KB,
Download Language File and Translate Before Importing,Töltsd le a nyelvfájlt és fordíts le az importálás elött,
Language name already exist!,Ez a nyelv megnevezés már létezik,
Please upload only csv file!,"Kérjük, csak csv fájlt tölts fel",
Are you sure to delete it?,"Biztos, hogy törlöd?",
Please select language!,"Kérjük, válassz nyelvet",
Please enter code!,Add meg a kódot!,
Select Language,Válassz nyelvet,
Birth Date,Születési dátum,
Confirm Email,Email megerösítése,
Provided emails are not same. Please fill again.,"A megadott email címek nem egyeznek. Kérjük, próbáld újra",
Please accept Terms and Conditions.,"Kérjük, fogadd el a felhasználási feltételeket",
Login ID,Login ID,
Transaction ID,Tanzakció ID,
MD5 Hash,MD5 Hash,
Select Payment Gateway,Válassz fizetési módot,
Credit Card Number,Hitel/Bankkártya száma,
Expiration Date,Lejárati dátum,
CCV,CCV,
First Name,Név,
Last Name,Családi név,
Address,Cím,
State,Megye,
Zip,Irányítószám,
Cancel,Mégse,
<b>Please Note:</b> We do not store your credit card information.,<b>Megjegyzés</b> A kártyájának adatait nem tároljuk,
Select ON to activate the Gateways mode.,"Válaszd az ON-t, hogy aktiváld a Gateway módot",
You have reached the limit of profile views. Please upgrade your membership plan.,"Elérted a profil megtekintések határát. Kérjük, frissítsd a tagsági csomagod",
Image Crop Tool,Képmetszö alkalmazás,
Select ON to activate the image crop mode.,Válaszd az ON-t hogy aktiváld a képmetzsö módot,
Quick Stats,Gyors statisztika,
This Week,Ezen a héten,
A user has reported the following profile. Please check the profile.,"Egy felhasználó jelentette a következö profilt. Kérjük, nézd meg a profilt",
Your IP is blacklisted by admin,Az admin blokkolta az IP címed,
Logs,Logok,
Clear Group Chat Log,Töröld a Csoport beszélgetést,
Chat Logs Cleared.,Chat beszélgetés törölve,
Chat,Chat,
Group Chat Mode,Csoport chat mód,
Select ON to activate the Chat mode.,"Válaszd az ON-t, hogy aktiváld a chat módot",
Select ON to activate the Comments mode.,"Válaszd az ON-t, hogy aktiváld a komment módot.",
Please allow 24 hours for profile approval.,"Kérjük várjon 24 órát, amíg a profil aktiválva lesz",
Your status has been updated!,Az állapotod frissítve lett,
Status Update:,Állapot frissítése,
My Status:,Àllapotom:,
Are you sure you want to delete this Comment?,"Biztos, hogy törölni akarod ezt a kommentet?",
You must be logged in to comment,"Be kell jelentkezned, hogy kommentelni tudj",
Import Zip Codes,Irányítószámok importálása,
IM Solution:,IM Megoldás:,
FlashChat Script,Flashchat Script,
"There is some internal error ,please contact the admin.","Belsö hiba lépett fel, kérjük fordulj az adminhoz",
API Password,API jelszó,
Paypal Advance User Name,PayPal Advance felhaszálónév,
API User Name,API felhasználónév,
Paypal Advance Password,PayPal Advance jelszó,
API Signature,API Aláírás,
Address-2,Lakcím-2,
Address-1,Lakcím-1,
Expiration Month(mm),Lejárati hónap(mm),
Expiration Year(yyyy),Lejárati év(yyyy),
Credit Card,Hitel/Bankkártya,
Standard Member,Standard felhasználó,
Premium Membership <br /> Expires in [D] Days,Prémium felhasználó <br /> Lejár [D] nap múlva,
Discover,Fedezd fel,
Amex,Amex,
MasterCard,Mastercard,
Visa,Visa,
Upgrade / PayPal,Upgrade / PayPal,
Upgrade / Credit Card,Upgrade / Credit Card,
Upgrade / PayPal Pro,Upgrade / PayPal Pro,
Upgrade/Paypal Advance,Upgrade/Paypal Advance,
Quick search,Gyors keresés,
You must be logged in to chat,Be kell jelentkezned a chateléshez,
Stealth Mode,Ingkognitó mód,
Your Premimum Account has been expired.,A prémium fiók lejárt,
Upgrade Here.,Frissítés itt,
You must be a premium member to comment.,A kommenteléshez prémium fiókra van szükség,
Rate Results,Èrtékelés eredménye,
You Rated,Értékeltél,
Highest Score,Legmagasabb pont,
Average Score,Átlagos pont,
Votes,Szavazatok,
Rating,Èrtékelés,
If you are not automatically redirected to paypal within 5 seconds...,Ha nem történik meg az átirányítás a paypal fiókra 5 másodperc múlva…,
Please try again!,"Kérjük, próbáld újra",
Processing Payment...,Fizetés folyamatban,
"Please wait,Your membership plan is being processed and","Kérjük várj, a tagsági elöfizetésed folyamatban van és",
and,és,
You will be redirected to the paypal website.,Átirányítunk a Paypal weboldalára,
Private:,Privát:,
Frequency,Gyakoriság,
Daily,Napi,
Weekly,Heti,
Monthly,Havi,
"<b>Note:</b> Matches are sent to the email you registered with. If you don't recieve them, please check your spam folder.","<b>Megjegyzés</b> A találatok a regisztrált emailedre lettek elküldve. Ha nem kaptad meg, akkor ellenörizd a spam-ot is.",
to:,számára,
Miles from Zip Code:,távolság az irányítószámodtól,
Sorry Your subscription procedure has failed. Please try again!,"Sajnáljuk, az elöfizetés létrehozása nem sikerült. Kérjük próbáld újra",
Sorry your transaction could not completed successfully. Please try again!,"Sajnáljuk, a tanzakció nem sikerült. Kérjük próbáld újra",
Your transaction has been canceled.,A tranzakció megszakítva,
Sorry Your transaction could not completed successfully,"Sajnáljuk, a tanzakció nem sikerült.",
Your membership is canceled successfully.,Az elöfizetésed sikeresen meg lett szakítva,
Sorry Your membership could not be canceled successfully.Please try later.,"Sajnáljuk, az elöfizetés megszakítása nem sikerült. Kérjük, próbáld újra",
You do not have any active membership.,Nincs aktív elöfizetésed,
